[Epoch 040] (Overall) rmse: 2.4251 | mae: 1.4355 | r2: -1.7239 | pearson_r: -0.0868 | spearman_r: 0.0112 | ce: -0.0000 
[Epoch 041] (Overall) rmse: 2.1893 | mae: 1.3368 | r2: -1.2199 | pearson_r: -0.0629 | spearman_r: 0.0352 | ce: -0.0000 
[Epoch 042] (Overall) rmse: 2.4360 | mae: 1.4722 | r2: -1.7484 | pearson_r: -0.0419 | spearman_r: 0.0684 | ce: -0.0000 
[Epoch 043] (Overall) rmse: 2.3931 | mae: 1.4074 | r2: -1.6524 | pearson_r: -0.0513 | spearman_r: 0.0314 | ce: -0.0000 
[Epoch 044] (Overall) rmse: 2.3839 | mae: 1.3402 | r2: -1.6321 | pearson_r: -0.0347 | spearman_r: 0.0703 | ce: -0.0000 
[Epoch 045] (Overall) rmse: 2.8412 | mae: 1.9746 | r2: -2.7387 | pearson_r: -0.0540 | spearman_r: 0.0338 | ce: -0.0000 
[Epoch 046] (Overall) rmse: 2.4924 | mae: 1.4007 | r2: -1.8771 | pearson_r: -0.0626 | spearman_r: 0.0193 | ce: -0.0000 
[Epoch 047] (Overall) rmse: 2.4265 | mae: 1.3397 | r2: -1.7269 | pearson_r: -0.0490 | spearman_r: 0.0127 | ce: -0.0000 
[Epoch 048] (Overall) rmse: 2.5075 | mae: 1.6209 | r2: -1.9121 | pearson_r: -0.0742 | spearman_r: 0.0044 | ce: -0.0000 
[Epoch 049] (Overall) rmse: 2.4467 | mae: 1.4154 | r2: -1.7725 | pearson_r: -0.0738 | spearman_r: 0.0191 | ce: -0.0000 
[Epoch 050] (Overall) rmse: 2.4314 | mae: 1.3690 | r2: -1.7380 | pearson_r: -0.0737 | spearman_r: 0.0241 | ce: -0.0000 
[Epoch 051] (Overall) rmse: 2.4941 | mae: 1.3365 | r2: -1.8811 | pearson_r: -0.0556 | spearman_r: 0.0371 | ce: -0.0000 
[Epoch 052] (Overall) rmse: 2.4136 | mae: 1.4486 | r2: -1.6982 | pearson_r: -0.0535 | spearman_r: 0.0328 | ce: -0.0000 
[Epoch 053] (Overall) rmse: 2.6033 | mae: 1.5030 | r2: -2.1389 | pearson_r: -0.0670 | spearman_r: 0.0191 | ce: -0.0000 
[Epoch 054] (Overall) rmse: 2.3682 | mae: 1.3422 | r2: -1.5974 | pearson_r: -0.0585 | spearman_r: 0.0521 | ce: -0.0000 
[Epoch 055] (Overall) rmse: 2.5053 | mae: 1.3873 | r2: -1.9068 | pearson_r: -0.0834 | spearman_r: 0.0052 | ce: -0.0000 
[Epoch 056] (Overall) rmse: 2.6670 | mae: 1.5984 | r2: -2.2942 | pearson_r: -0.0576 | spearman_r: 0.0165 | ce: -0.0000 
[Epoch 057] (Overall) rmse: 2.5736 | mae: 1.3894 | r2: -2.0676 | pearson_r: -0.0627 | spearman_r: 0.0045 | ce: -0.0000 
[Epoch 058] (Overall) rmse: 2.6105 | mae: 1.4547 | r2: -2.1562 | pearson_r: -0.0611 | spearman_r: 0.0102 | ce: -0.0000 
[Epoch 059] (Overall) rmse: 2.4501 | mae: 1.4735 | r2: -1.7803 | pearson_r: -0.1017 | spearman_r: -0.0243 | ce: -0.0000 
[Epoch 060] (Overall) rmse: 2.5513 | mae: 1.4591 | r2: -2.0147 | pearson_r: -0.0611 | spearman_r: 0.0135 | ce: -0.0000 
[Epoch 061] (Overall) rmse: 2.4025 | mae: 1.3791 | r2: -1.6733 | pearson_r: -0.0960 | spearman_r: -0.0032 | ce: -0.0000 
[Epoch 062] (Overall) rmse: 2.5250 | mae: 1.4013 | r2: -1.9528 | pearson_r: -0.0769 | spearman_r: 0.0114 | ce: -0.0000 
[Epoch 063] (Overall) rmse: 2.5190 | mae: 1.3918 | r2: -1.9388 | pearson_r: -0.0995 | spearman_r: -0.0538 | ce: -0.0000 
[Epoch 064] (Overall) rmse: 2.5816 | mae: 1.4316 | r2: -2.0867 | pearson_r: -0.1294 | spearman_r: -0.0608 | ce: -0.0000 
[Epoch 065] (Overall) rmse: 2.4283 | mae: 1.3711 | r2: -1.7311 | pearson_r: -0.0784 | spearman_r: -0.0163 | ce: -0.0000 
[Epoch 066] (Overall) rmse: 2.7363 | mae: 1.7539 | r2: -2.4678 | pearson_r: -0.0688 | spearman_r: 0.0153 | ce: -0.0000 
[Epoch 067] (Overall) rmse: 2.4924 | mae: 1.3902 | r2: -1.8771 | pearson_r: -0.0745 | spearman_r: -0.0215 | ce: -0.0000 
[Epoch 068] (Overall) rmse: 2.5989 | mae: 1.5081 | r2: -2.1282 | pearson_r: -0.0758 | spearman_r: -0.0175 | ce: -0.0000 
[Epoch 069] (Overall) rmse: 2.3922 | mae: 1.3893 | r2: -1.6505 | pearson_r: -0.0928 | spearman_r: -0.0147 | ce: -0.0000 
[Epoch 070] (Overall) rmse: 2.4606 | mae: 1.3879 | r2: -1.8042 | pearson_r: -0.1010 | spearman_r: -0.0310 | ce: -0.0000 
[Epoch 071] (Overall) rmse: 2.4169 | mae: 1.3985 | r2: -1.7055 | pearson_r: -0.0898 | spearman_r: -0.0281 | ce: -0.0000 
[Epoch 072] (Overall) rmse: 2.4531 | mae: 1.4416 | r2: -1.7872 | pearson_r: -0.1005 | spearman_r: -0.0372 | ce: -0.0000 
[Epoch 073] (Overall) rmse: 2.4578 | mae: 1.4289 | r2: -1.7977 | pearson_r: -0.1021 | spearman_r: -0.0446 | ce: -0.0000 
[Epoch 074] (Overall) rmse: 2.4593 | mae: 1.3940 | r2: -1.8013 | pearson_r: -0.1022 | spearman_r: -0.0269 | ce: -0.0000 
[Epoch 075] (Overall) rmse: 2.4180 | mae: 1.3757 | r2: -1.7079 | pearson_r: -0.0746 | spearman_r: 0.0075 | ce: -0.0000 
[Epoch 076] (Overall) rmse: 2.4391 | mae: 1.4246 | r2: -1.7553 | pearson_r: -0.1501 | spearman_r: -0.0983 | ce: -0.0000 
[Epoch 077] (Overall) rmse: 2.4027 | mae: 1.3567 | r2: -1.6737 | pearson_r: -0.0965 | spearman_r: -0.0342 | ce: -0.0000 
[Epoch 078] (Overall) rmse: 2.5057 | mae: 1.4359 | r2: -1.9080 | pearson_r: -0.0735 | spearman_r: -0.0082 | ce: -0.0000 
[Epoch 079] (Overall) rmse: 2.4079 | mae: 1.3782 | r2: -1.6854 | pearson_r: -0.0785 | spearman_r: -0.0260 | ce: -0.0000 
[Epoch 080] (Overall) rmse: 2.6901 | mae: 1.4625 | r2: -2.3515 | pearson_r: -0.0985 | spearman_r: -0.0685 | ce: -0.0000 
[Epoch 081] (Overall) rmse: 2.4511 | mae: 1.4820 | r2: -1.7825 | pearson_r: -0.0500 | spearman_r: -0.0009 | ce: -0.0000 
[Epoch 082] (Overall) rmse: 2.6098 | mae: 1.6191 | r2: -2.1545 | pearson_r: -0.1165 | spearman_r: -0.0715 | ce: -0.0000 
[Epoch 083] (Overall) rmse: 2.4399 | mae: 1.4384 | r2: -1.7572 | pearson_r: -0.1036 | spearman_r: -0.0415 | ce: -0.0000 
[Epoch 084] (Overall) rmse: 2.4707 | mae: 1.4734 | r2: -1.8272 | pearson_r: -0.0943 | spearman_r: -0.0392 | ce: -0.0000 
[Epoch 085] (Overall) rmse: 2.4498 | mae: 1.4004 | r2: -1.7796 | pearson_r: -0.0878 | spearman_r: -0.0406 | ce: -0.0000 
[Epoch 086] (Overall) rmse: 2.5443 | mae: 1.5367 | r2: -1.9982 | pearson_r: -0.0983 | spearman_r: -0.0528 | ce: -0.0000 
[Epoch 087] (Overall) rmse: 2.4518 | mae: 1.3881 | r2: -1.7841 | pearson_r: -0.1105 | spearman_r: -0.0615 | ce: -0.0000 
[Epoch 088] (Overall) rmse: 2.5084 | mae: 1.4558 | r2: -1.9142 | pearson_r: -0.1188 | spearman_r: -0.0716 | ce: -0.0000 
[Epoch 089] (Overall) rmse: 2.6053 | mae: 1.4501 | r2: -2.1436 | pearson_r: -0.1264 | spearman_r: -0.1098 | ce: -0.0000 
[Epoch 090] (Overall) rmse: 2.6367 | mae: 1.4284 | r2: -2.2199 | pearson_r: -0.1172 | spearman_r: -0.0805 | ce: -0.0000 
[Epoch 091] (Overall) rmse: 2.5770 | mae: 1.4848 | r2: -2.0756 | pearson_r: -0.0914 | spearman_r: -0.0544 | ce: -0.0000 
[Epoch 092] (Overall) rmse: 2.6027 | mae: 1.5465 | r2: -2.1373 | pearson_r: -0.1263 | spearman_r: -0.1149 | ce: -0.0000 
[Epoch 093] (Overall) rmse: 2.6537 | mae: 1.4767 | r2: -2.2615 | pearson_r: -0.0941 | spearman_r: -0.0692 | ce: -0.0000 
[Epoch 094] (Overall) rmse: 2.5378 | mae: 1.4899 | r2: -1.9829 | pearson_r: -0.1370 | spearman_r: -0.1099 | ce: -0.0000 
[Epoch 095] (Overall) rmse: 2.7308 | mae: 1.5776 | r2: -2.4539 | pearson_r: -0.1246 | spearman_r: -0.1198 | ce: -0.0000 
[Epoch 096] (Overall) rmse: 2.7593 | mae: 1.6091 | r2: -2.5263 | pearson_r: -0.1130 | spearman_r: -0.1304 | ce: -0.0000 
[Epoch 097] (Overall) rmse: 2.7024 | mae: 1.5642 | r2: -2.3822 | pearson_r: -0.1114 | spearman_r: -0.1132 | ce: -0.0000 
[Epoch 098] (Overall) rmse: 2.5230 | mae: 1.4603 | r2: -1.9482 | pearson_r: -0.1321 | spearman_r: -0.1185 | ce: -0.0000 
[Epoch 099] (Overall) rmse: 2.5656 | mae: 1.4992 | r2: -2.0486 | pearson_r: -0.1279 | spearman_r: -0.0741 | ce: -0.0000 
Training ends! Best rmse (Epoch 000) = 1.7276
