id,compound_id,base_rdkit_smiles,relation,aval,source,moe_washed,%C,FCharge,Weight,RBC
1,125137506,O=C(NCc1ccc(NC(=N)N)cc1)[C@@](NC(=O)C)c1ccc(OCc2ccccc2)cc1,,0,dengue_protease_curated_inactive_d2.csv,O=C(NCc1ccc(NC(=[N+])N)cc1)[C@@](NC(=O)C)c1ccc(OCc2ccccc2)cc1,99.101807,1,445.52298,9
2,124631474,S(=O)(=O)(N1[C@@](C(=O)Nc2sc3c(n2)cc(O)c(O)c3)CCC1)c1cc2c(cc(NC(=O)C)cc2)cc1,,0,dengue_protease_curated_inactive_d2.csv,S(=O)(=O)(N1[C@@](C(=O)Nc2sc3c(n2)cc(O)c(O)c3)CCC1)c1cc2c(cc(NC(=O)C)cc2)cc1,99.166336,0,526.59399,5
3,124631475,S(=O)(=O)(N1[C@](C(=O)Nc2sc3c(n2)cc(O)c(O)c3)CCC1)c1cc2c(cc(NC(=O)C)cc2)cc1,,0,dengue_protease_curated_inactive_d2.csv,S(=O)(=O)(N1[C@](C(=O)Nc2sc3c(n2)cc(O)c(O)c3)CCC1)c1cc2c(cc(NC(=O)C)cc2)cc1,99.166336,0,526.59399,5
4,125671528,O=C(N[C@@](C(=O)N[C@](C(=O)N)C(C)(C)C)c1ccc(OCc2ccccc2)cc1)[C@@](NC(=O)c1ccccc1)CCCCN,<,0,dengue_protease_curated_inactive_d2.csv,O=C(N[C@@](C(=O)N[C@](C(=O)N)C(C)(C)C)c1ccc(OCc2ccccc2)cc1)[C@@](NC(=O)c1ccccc1)CCCC[N+],99.918121,1,601.74799,15
5,125606036,O=C(Nc1cc(C(=O)N)ccc1)[C@@](NC(=O)c1ccc(OCCC(C)C)cc1)c1ccc(OCc2ccccc2)cc1,,0,dengue_protease_curated_inactive_d2.csv,O=C(Nc1cc(C(=O)N)ccc1)[C@@](NC(=O)c1ccc(OCCC(C)C)cc1)c1ccc(OCc2ccccc2)cc1,100,0,565.66998,13
6,125671524,O=C(N[C@@](C(=O)N[C@](C(=O)N)CC(C)C)c1ccc(OCc2ccccc2)cc1)[C@@](NC(=O)c1ccccc1)CCCCN,<,0,dengue_protease_curated_inactive_d2.csv,O=C(N[C@@](C(=O)N[C@](C(=O)N)CC(C)C)c1ccc(OCc2ccccc2)cc1)[C@@](NC(=O)c1ccccc1)CCCC[N+],99.918121,1,601.74799,17
7,125671507,O=C(N[C@](C(=O)NC(C)C)CCCCN)[C@@](NC(=O)c1ccccc1)CCCNC(=N)N,,0,dengue_protease_curated_inactive_d2.csv,O=C(N[C@](C(=O)NC(C)C)CCCC[N+])[C@@](NC(=O)c1ccccc1)CCCNC(=[N+])N,99.862221,2,447.58398,14
8,126917364,S(=O)(=O)(N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N)c1ccccc1)CCCCN)CCCNC(=N)N)c1c(C(C)C)cc(C(C)C)cc1C(C)C,,0,dengue_protease_curated_inactive_d2.csv,S(=O)(=O)(N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N)c1ccccc1)CCCC[N+])CCCNC(=[N+])N)c1c(C(C)C)cc(C(C)C)cc1C(C)C,99.636963,2,700.95001,20
9,125671432,S(=O)(=O)(N[C@](C(=O)Nc1sc2c(n1)cc(O)c(O)c2)C(CC)C)c1ccc(C)cc1,,0,dengue_protease_curated_inactive_d2.csv,S(=O)(=O)(N[C@](C(=O)Nc1sc2c(n1)cc(O)c(O)c2)[C@@](CC)C)c1ccc(C)cc1,98.882004,0,449.552,7
10,125605999,O=C(N[C@](C(=O)NCc1ccc(C(=O)N)cc1)c1ccc(OCc2ccccc2)cc1)C(=O)CCC,,0,dengue_protease_curated_inactive_d2.csv,O=C(N[C@](C(=O)NCc1ccc(C(=O)N)cc1)c1ccc(OCc2ccccc2)cc1)C(=O)CCC,100,0,487.556,12
11,125606013,O=C(N[C@](C(=O)NCCc1ccc(C(=O)N)cc1)c1ccc(OCc2ccccc2)cc1)C(O)CCC,,0,dengue_protease_curated_inactive_d2.csv,O=C(N[C@](C(=O)NCCc1ccc(C(=O)N)cc1)c1ccc(OCc2ccccc2)cc1)[C@](O)CCC,100,0,503.599,13
12,125605998,O=C(N[C@](C(=O)NCc1ccc(C(=O)N)cc1)c1ccc(OCc2ccccc2)cc1)C(O)CCC,,0,dengue_protease_curated_inactive_d2.csv,O=C(N[C@](C(=O)NCc1ccc(C(=O)N)cc1)c1ccc(OCc2ccccc2)cc1)[C@](O)CCC,100,0,489.57199,12
