[dock_proc19.hdf5 - 2464] pose count: 0, pose scores: NO POSES!
[dock_proc19.hdf5 - 121] pose count: 0, pose scores: NO POSES!
[dock_proc19.hdf5 - 206] pose count: 0, pose scores: NO POSES!
[dock_proc19.hdf5 - 202] pose count: 0, pose scores: NO POSES!
[dock_proc2.hdf5 - 1796] pose count: 0, pose scores: NO POSES!
[dock_proc20.hdf5 - 1785] pose count: 0, pose scores: NO POSES!
[dock_proc20.hdf5 - 237] pose count: 0, pose scores: NO POSES!
[dock_proc21.hdf5 - 2041] pose count: 0, pose scores: NO POSES!
[dock_proc21.hdf5 - 1701] pose count: 0, pose scores: NO POSES!
[dock_proc22.hdf5 - 1772] pose count: 0, pose scores: NO POSES!
[dock_proc22.hdf5 - 422] pose count: 0, pose scores: NO POSES!
[dock_proc22.hdf5 - 444] pose count: 0, pose scores: NO POSES!
[dock_proc23.hdf5 - 1318] pose count: 0, pose scores: NO POSES!
[dock_proc24.hdf5 - 647] pose count: 0, pose scores: NO POSES!
[dock_proc24.hdf5 - 653] pose count: 0, pose scores: NO POSES!
[dock_proc26.hdf5 - 1159] pose count: 0, pose scores: NO POSES!
[dock_proc26.hdf5 - 1631] pose count: 0, pose scores: NO POSES!
[dock_proc27.hdf5 - 1414] pose count: 0, pose scores: NO POSES!
[dock_proc27.hdf5 - 792] pose count: 0, pose scores: NO POSES!
[dock_proc28.hdf5 - 1619] pose count: 0, pose scores: NO POSES!
[dock_proc28.hdf5 - 2496] pose count: 0, pose scores: NO POSES!
[dock_proc28.hdf5 - 2050] pose count: 0, pose scores: NO POSES!
[dock_proc28.hdf5 - 201] pose count: 0, pose scores: NO POSES!
[dock_proc29.hdf5 - 1789] pose count: 0, pose scores: NO POSES!
[dock_proc29.hdf5 - 1788] pose count: 0, pose scores: NO POSES!
[dock_proc29.hdf5 - 1244] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1805] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1803] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1802] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1801] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1800] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1799] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1798] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1779] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1320] pose count: 0, pose scores: NO POSES!
[dock_proc3.hdf5 - 1319] pose count: 0, pose scores: NO POSES!
[dock_proc30.hdf5 - 1684] pose count: 0, pose scores: NO POSES!
[dock_proc32.hdf5 - 1413] pose count: 0, pose scores: NO POSES!
[dock_proc32.hdf5 - 973] pose count: 0, pose scores: NO POSES!
[dock_proc32.hdf5 - 2787] pose count: 0, pose scores: NO POSES!
[dock_proc33.hdf5 - 1795] pose count: 0, pose scores: NO POSES!
[dock_proc33.hdf5 - 663] pose count: 0, pose scores: NO POSES!
[dock_proc34.hdf5 - 2371] pose count: 0, pose scores: NO POSES!
[dock_proc34.hdf5 - 2049] pose count: 0, pose scores: NO POSES!
[dock_proc35.hdf5 - 187] pose count: 0, pose scores: NO POSES!
[dock_proc36.hdf5 - 2285] pose count: 0, pose scores: NO POSES!
[dock_proc36.hdf5 - 1842] pose count: 0, pose scores: NO POSES!
[dock_proc36.hdf5 - 442] pose count: 0, pose scores: NO POSES!
[dock_proc37.hdf5 - 2500] pose count: 0, pose scores: NO POSES!
[dock_proc37.hdf5 - 771] pose count: 0, pose scores: NO POSES!
[dock_proc37.hdf5 - 658] pose count: 0, pose scores: NO POSES!
[dock_proc38.hdf5 - 1543] pose count: 0, pose scores: NO POSES!
[dock_proc38.hdf5 - 1498] pose count: 0, pose scores: NO POSES!
[dock_proc38.hdf5 - 204] pose count: 0, pose scores: NO POSES!
[dock_proc4.hdf5 - 49] pose count: 0, pose scores: NO POSES!
[dock_proc4.hdf5 - 417] pose count: 0, pose scores: NO POSES!
[dock_proc4.hdf5 - 408] pose count: 0, pose scores: NO POSES!
[dock_proc4.hdf5 - 345] pose count: 0, pose scores: NO POSES!
[dock_proc4.hdf5 - 346] pose count: 0, pose scores: NO POSES!
[dock_proc4.hdf5 - 374] pose count: 0, pose scores: NO POSES!
[dock_proc40.hdf5 - 2563] pose count: 0, pose scores: NO POSES!
[dock_proc40.hdf5 - 194] pose count: 0, pose scores: NO POSES!
[dock_proc41.hdf5 - 2340] pose count: 0, pose scores: NO POSES!
[dock_proc41.hdf5 - 2494] pose count: 0, pose scores: NO POSES!
[dock_proc41.hdf5 - 660] pose count: 0, pose scores: NO POSES!
[dock_proc41.hdf5 - 1804] pose count: 0, pose scores: NO POSES!
[dock_proc41.hdf5 - 200] pose count: 0, pose scores: NO POSES!
[dock_proc41.hdf5 - 179] pose count: 0, pose scores: NO POSES!
[dock_proc42.hdf5 - 1607] pose count: 0, pose scores: NO POSES!
[dock_proc43.hdf5 - 1321] pose count: 0, pose scores: NO POSES!
[dock_proc43.hdf5 - 664] pose count: 0, pose scores: NO POSES!
[dock_proc44.hdf5 - 87] pose count: 0, pose scores: NO POSES!
[dock_proc44.hdf5 - 118] pose count: 0, pose scores: NO POSES!
[dock_proc44.hdf5 - 104] pose count: 0, pose scores: NO POSES!
[dock_proc45.hdf5 - 120] pose count: 0, pose scores: NO POSES!
[dock_proc46.hdf5 - 2497] pose count: 0, pose scores: NO POSES!
[dock_proc46.hdf5 - 1769] pose count: 0, pose scores: NO POSES!
[dock_proc46.hdf5 - 2499] pose count: 0, pose scores: NO POSES!
[dock_proc46.hdf5 - 2287] pose count: 0, pose scores: NO POSES!
[dock_proc47.hdf5 - 1163] pose count: 0, pose scores: NO POSES!
[dock_proc48.hdf5 - 2226] pose count: 0, pose scores: NO POSES!
[dock_proc48.hdf5 - 1783] pose count: 0, pose scores: NO POSES!
[dock_proc48.hdf5 - 1253] pose count: 0, pose scores: NO POSES!
[dock_proc49.hdf5 - 1284] pose count: 0, pose scores: NO POSES!
[dock_proc5.hdf5 - 976] pose count: 0, pose scores: NO POSES!
[dock_proc5.hdf5 - 975] pose count: 0, pose scores: NO POSES!
[dock_proc5.hdf5 - 974] pose count: 0, pose scores: NO POSES!
[dock_proc5.hdf5 - 2286] pose count: 0, pose scores: NO POSES!
[dock_proc7.hdf5 - 1787] pose count: 0, pose scores: NO POSES!
[dock_proc7.hdf5 - 1786] pose count: 0, pose scores: NO POSES!
[dock_proc7.hdf5 - 1493] pose count: 0, pose scores: NO POSES!
[dock_proc7.hdf5 - 1481] pose count: 0, pose scores: NO POSES!
[dock_proc8.hdf5 - 1540] pose count: 0, pose scores: NO POSES!
[dock_proc8.hdf5 - 245] pose count: 0, pose scores: NO POSES!
[dock_proc9.hdf5 - 1178] pose count: 0, pose scores: NO POSES!
[dock_proc9.hdf5 - 1784] pose count: 0, pose scores: NO POSES!
[dock_proc9.hdf5 - 662] pose count: 0, pose scores: NO POSES!
[dock_proc9.hdf5 - 154] pose count: 0, pose scores: NO POSES!
