Working Directory,Output File,datetime,node
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-160111-CPU-oo87dhwk,testing,20240723-170110,827219
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-221952-CPU-aahc3rqd,testing,20240723-221952,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-222150-CPU-_jw7o08l,testing,20240723-222150,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-224127-CPU-qmh5nrep,testing,20240723-224127,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-225120-CPU-a9r7kn7x,testing,20240723-225120,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-230319-827265-7_ytmuxl,testing,20240723-230319,827265
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-230652-827265-_9q3otlb,testing,20240723-230652,827265
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-231010-827265-orjuan58,testing,20240723-231010,827265
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-231224-827265-70mfagzp,testing,20240723-231225,827265
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240723-231411-827265-gl1tuolh,testing,20240723-231411,827265
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240724-094623-827403-3cu7rfmt-BALANCED,testing,20240724-094623,827403
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240724-100253-827403-uvs2_bbp-BALANCED,testing,20240724-104013,827448
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240724-141856-827785-e8otlmk0,testing,20240724-141856,827785
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240724-142927-827787-cmhbtvnm-NO-BN-ACTIVATION-GLOBAL-ADD,/g/g91/ranganath2/fast2/logs/827787-20240724-142900.txt,0240724-142900,827787
/usr/workspace/ranganath2/fast.tmp/DENV2/EGNN-20240726-112725-CPU-k5y6b9pp,testing,20240726-112725,CPU
/usr/workspace/ranganath2/fast.tmp/DENV2/EGNN-20240726-121646-CPU-rud6q079,testing,20240726-121646,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240726-202909-828749-pyn6a8w5,/g/g91/ranganath2/fast2/logs/828749-20240726-202833.txt,20240726-202833.txt,828749
