Working Directory,Output File,datetime,node
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240728-124404-853369-vkw8kvcl,testing,20240728-125020,853369
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240728-124404-853369-vkw8kvcl/,/g/g91/ranganath2/fast2/logs/853372-20240728-125705.txt,20240728-125705.txt,853372
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240728-130506-853373-04acswsh-NO-ZEROS,/g/g91/ranganath2/fast2/logs/853373-20240728-130446.txt,20240728-130446.txt,853373
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240728-220640-853519-j3tspeb2-FINETUNE-PDBBIND-TO-DENGUE,/g/g91/ranganath2/fast2/logs/853519-20240728-220616.txt,20240728-220616.txt,853519
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240728-220908-853521-oflkr4__-PDDBIND+MPRO-TO-DENGUE,/g/g91/ranganath2/fast2/logs/853521-20240728-220853.txt,20240728-220853.txt,853521
/p/lustre1/ranganath2/fast.tmp/DENV2/SGCNN-20240729-130428-853761-illueb_h,/g/g91/ranganath2/fast2/logs/853761-20240729-130359.txt,20240729-130359.txt,853761
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240729-130442-853766-bh_mzorz-NO-NORMALIZE,/g/g91/ranganath2/fast2/logs/853766-20240729-130424.txt,20240729-130424.txt,853766
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240729-130442-853766-bh_mzorz-NO-NORMALIZE/,/g/g91/ranganath2/fast2/logs/853847-20240729-140131.txt,20240729-141333,0
/p/lustre1/ranganath2/fast.tmp/DENV2/SGCNN-20240729-130428-853761-illueb_h/,/g/g91/ranganath2/fast2/logs/853877-20240729-142004.txt,20240729-142004.txt,853877
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240729-151131-853905-hbiti3lg-ORIGINAL-EGNN-WITHOUT-ZEROS,/g/g91/ranganath2/fast2/logs/853905-20240729-151027.txt,20240729-151027.txt,853905
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240729-151141-853906-qkn1owgx-ORIGINAL-EGNN-WITHOUT-ZEROS,/g/g91/ranganath2/fast2/logs/853906-20240729-151124.txt,20240729-151124.txt,853906
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240729-151141-853906-qkn1owgx-ORIGINAL-EGNN-WITHOUT-ZEROS/,/g/g91/ranganath2/fast2/logs/853910-20240729-152316.txt,20240729-152316.txt,853910
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240804-184145-858600-f_b3nl3w,/g/g91/ranganath2/fast2/logs/858600-20240804-184113.txt,20240804-184113.txt,858600
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240804-195600-858646-t5z6ejki,/g/g91/ranganath2/fast2/logs/858646-20240804-195537.txt,20240804-195537.txt,858646
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240804-212155-858668-54xcev64,/g/g91/ranganath2/fast2/logs/858668-20240804-212137.txt,20240804-212137.txt,858668
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240804-212317-CPU-amgrm9on,testing,20240804-213134,0
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240804-215059-858721-51avsxsy,/g/g91/ranganath2/fast2/logs/858721-20240804-215044.txt,0240804-215044.txt,858721 - FINAL
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240805-000756-858830-0fg1lr4o-WITH-RELU-ACTIVATION,/g/g91/ranganath2/fast2/logs/858830-20240805-000742.txt,20240805-000742.txt,858830
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240806-160833-CPU-k5njea79,testing,20240806-160834,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240806-160833-CPU-k5njea79/,testing,20240806-160920,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240806-183511-860649-c4jitr5y,testing,20240806-183512,860649
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240806-183511-860649-c4jitr5y/,testing,20240806-184003,860649
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240810-154357-866210-d780hxt7,/g/g91/ranganath2/fast2/logs/866210-20240810-154334.txt,20240810-154334,866210
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240810-154357-866210-d780hxt7/,/g/g91/ranganath2/fast2/logs/866211-20240810-154641.txt,0240810-154641.txt,866211
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240811-114752-866289-i9j2fhmd,/g/g91/ranganath2/fast2/logs/866289-20240811-114719.txt,0240811-114719.txt,866289
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240811-114752-866289-i9j2fhmd/,/g/g91/ranganath2/fast2/logs/866290-20240811-115209.txt,40811-115209.txt,866290
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240812-111807-866458-op_s7ez7,/g/g91/ranganath2/fast2/logs/866458-20240812-111745.txt,20240812-111745.txt,866458
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240812-111817-866459-av97r83c,/g/g91/ranganath2/fast2/logs/866459-20240812-111759.txt,20240812-111759.txt,866459
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240812-113135-866469-js9qhgxz,/g/g91/ranganath2/fast2/logs/866469-20240812-113111.txt,20240812-113111.txt,866469
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240812-113138-866470-_bdjwqnc,/g/g91/ranganath2/fast2/logs/866470-20240812-113119.txt,20240812-113119.txt,866470
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240812-113138-866470-_bdjwqnc/,/g/g91/ranganath2/fast2/logs/866736-20240813-123649.txt,20240813-123649.txt,866736
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/EGNN-20240813-123959-866737-vs5a82n8,/g/g91/ranganath2/fast2/logs/866737-20240813-123937.txt,20240813-123937.txt,866737
/p/lustre1/ranganath2/fast.tmp/MPRO/EGNN-20240813-124008-866738-nxjng0uw,/g/g91/ranganath2/fast2/logs/866738-20240813-123949.txt,20240813-123949.txt,866738
/p/lustre1/ranganath2/fast.tmp/MPRO+PDBBIND2020/EGNN-20240813-124051-866739-cr6ls56u,/g/g91/ranganath2/fast2/logs/866739-20240813-124033.txt,20240813-124033.txt,866739
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/EGNN-20240813-123959-866737-vs5a82n8/,/g/g91/ranganath2/fast2/logs/866741-20240813-124549.txt,20240813-124549.txt,866741
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240813-124818-866742-4y2pns5u,/g/g91/ranganath2/fast2/logs/866745-20240813-125458.txt,20240813-125458.txt,866745
/p/lustre1/ranganath2/fast.tmp/MPRO/EGNN-20240813-141310-866758-8n2qh27e,/g/g91/ranganath2/fast2/logs/866758-20240813-141244.txt,20240813-141244.txt,866758
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240813-154811-866798-yy9wwwb0-FINETUNE-DENV2,/g/g91/ranganath2/fast2/logs/866798-20240813-154744.txt,20240813-154744.txt,866798
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/EGNN-20240814-232910-867264-e9xthb9x,/g/g91/ranganath2/fast2/logs/867264-20240814-232847.txt,0240814-232847.txt,867264
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240815-084355-867276-3bufjzwr,/g/g91/ranganath2/fast2/logs/867276-20240815-084132.txt,0240815-084132.txt,867276
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240815-112353-867345-oxbwsdvv,/g/g91/ranganath2/fast2/logs/867345-20240815-112052.txt,20240815-112052.txt,867345
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240815-113025-867350-82fidv82,/g/g91/ranganath2/fast2/logs/867350-20240815-112925.txt,20240815-112925.txt,867350
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240815-113025-867350-82fidv82/,/g/g91/ranganath2/fast2/logs/867361-20240815-113654.txt,20240815-113654.txt,867361
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240815-115819-867385-d6k0yei6,/g/g91/ranganath2/fast2/logs/867385-20240815-115548.txt,20240815-115548.txt,867385
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240815-134209-867434-s8hytavh,/g/g91/ranganath2/fast2/logs/867434-20240815-134011.txt,20240815-134011.txt,867434
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020+WESTNILE/EGNN-20240816-010042-867744-ql_mhf3r,/g/g91/ranganath2/fast2/logs/867744-20240816-005852.txt,20240816-005852.txt,867744
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240819-153920-871487-85tw7ea9-DENGUE,/g/g91/ranganath2/fast2/logs/EGNN_TEST_20240819-153857/871487-20240819-153901.txt,20240819-153901.txt,871487
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240819-172450-871549-ky11ub5m-DENGUE,/g/g91/ranganath2/fast2/logs/EGNN_TEST_20240819-172415/871549-20240819-172429.txt,20240819-172429.txt,871549
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240819-172450-871547-aazkrn3o-DENGUE,/g/g91/ranganath2/fast2/logs/EGNN_TEST_20240819-172415/871547-20240819-172427.txt,20240819-172427.txt,871547
/p/lustre1/ranganath2/fast.tmp/WESTNILE/EGNN-20240819-173525-871557-av89w2z_,/g/g91/ranganath2/fast2/logs/871557-20240819-173503.txt,20240819-173503.txt,871557
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240819-173536-871558-u0xvdmxn,/g/g91/ranganath2/fast2/logs/871558-20240819-173517.txt,20240819-173517.txt,871558
/p/lustre1/ranganath2/fast.tmp/MPRO/EGNN-20240819-173615-871560-_k6nca38,/g/g91/ranganath2/fast2/logs/871560-20240819-173556.txt,20240819-173556.txt,871560
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240819-173941-871562-xm0d4ym8,/g/g91/ranganath2/fast2/logs/871562-20240819-173922.txt,0240819-173922.txt,871562
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/EGNN-20240819-174309-871564-clrte403,/g/g91/ranganath2/fast2/logs/871564-20240819-174248.txt,20240819-174248.txt,871564
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240821-114432-872158-syuhpleo-RANDOM-FINETUNE,/g/g91/ranganath2/fast2/logs/872158-20240821-114355.txt,0240821-114355.txt,872158
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240821-114618-872159-uz18tw57-SCAFFOLD-FINETUNE,/g/g91/ranganath2/fast2/logs/872159-20240821-114556.txt,0240821-114556.txt,872159
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240821-133932-872236-16ci7qwd-RANDOM-FINETUNE,/g/g91/ranganath2/fast2/logs/872236-20240821-133857.txt,0240821-133857.txt,872236
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240821-140720-872237-_abx6yiq-SCAFFOLD-FINETUNE,/g/g91/ranganath2/fast2/logs/872237-20240821-140657.txt,0240821-140657.txt,872237
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240821-165827-872241-kjur6s5w,/g/g91/ranganath2/fast2/logs/872241-20240821-165751.txt,20240821-165751.txt,872241
/p/lustre1/ranganath2/fast.tmp/MPRO/EGNN-20240827-135022-874334-oelhiwl6,/g/g91/ranganath2/fast2/logs/874334-20240827-134953.txt,20240827-134953.txt,874334
/p/lustre1/ranganath2/fast.tmp/WESTNILE/EGNN-20240827-135022-874333-btt5cx6s,/g/g91/ranganath2/fast2/logs/874333-20240827-134953.txt,20240827-134953.txt,874333
/p/lustre1/ranganath2/fast.tmp/MPRO+PDBBIND2020/EGNN-20240831-202137-877186-k7fq7nqg,testing,20240831-202137,877186
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240905-092926-878324-5otzpitl,testing,20240905-092926,878324
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240905-125623-878635-viyevz5h,/g/g91/ranganath2/fast2/logs/878635-20240905-125338.txt,20240905-125338.txt,878635
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240905-135013-878658-u0j65nx9-HLR,/g/g91/ranganath2/fast2/logs/878658-20240905-134834.txt,20240905-134834.txt,878658
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240905-154221-878754-plt1joce,/g/g91/ranganath2/fast2/logs/878754-20240905-153849.txt,20240905-153849.txt,878754
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240908-153625-879210-7xt40c20-ZiKA-ONLY,/g/g91/ranganath2/fast2/logs/879210-20240908-153607.txt,40908-153607.txt,879210
/p/lustre1/ranganath2/fast.tmp/WESTNILE/EGNN-20240908-153817-879211-fnkvgnvs-WN-ONLY,/g/g91/ranganath2/fast2/logs/879211-20240908-153803.txt,0240908-153803.txt,879211
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240908-154722-879217-9hi_pjr5-ZIKA-ONLY,/g/g91/ranganath2/fast2/logs/879217-20240908-154708.txt,0240908-154708.txt,879217
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240908-155243-879218-vbhffuz2-ZIKA-FINETUNE,/g/g91/ranganath2/fast2/logs/879218-20240908-155230.txt,0240908-155230.txt,879218
/p/lustre1/ranganath2/fast.tmp/WESTNILE/EGNN-20240908-155351-879219-cqcnjw6b-WESTNILE-FINETUNE,/g/g91/ranganath2/fast2/logs/879219-20240908-155337.txt,0240908-155337.txt,879219
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240910-134907-885109-2to2qtye,testing,20240911-162348,885401
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240911-152252-885409-kx_wkird-WITH-CLASSIFICATION,/g/g91/ranganath2/fast2/logs/885409-20240911-152233.txt,20240911-152233.txt,885409
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240911-162936-885454-ivodethx,/g/g91/ranganath2/fast2/logs/885454-20240911-162912.txt,20240911-162912.txt,885454
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240911-213613-885479-mxo6fz_1-BCEWITHOUTLOGITS,/g/g91/ranganath2/fast2/logs/885479-20240911-213550.txt,20240911-213550.txt,885479
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240911-214033-885483-q35dz2s4-BCEWITHOUTLOGITS,/g/g91/ranganath2/fast2/logs/885483-20240911-214019.txt,20240911-214019.txt,885483
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240912-112921-885729-wxwsf9p9-testing,/g/g91/ranganath2/fast2/logs/885784-20240912-183603.txt,20240912-183603.txt,885784
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240913-112023-886282-g6g0meec-FIXED-LOSS-FUNCTION,/g/g91/ranganath2/fast2/logs/886282-20240913-112009.txt,0240913-112009.txt,886282
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240913-113030-886287-imj34mi9-FIXED-LOSS-2,/g/g91/ranganath2/fast2/logs/886287-20240913-113014.txt,0240913-113014.txt,886287
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240913-113411-886289-82ox3up3-WITHOUT-SOFTMAX,/g/g91/ranganath2/fast2/logs/886289-20240913-113358.txt,0240913-113358.txt,886289
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240913-113940-886293-p3qm7333-LABEL-MEAN-POOL,/g/g91/ranganath2/fast2/logs/886293-20240913-113926.txt,0240913-113926.txt,886293
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240913-115557-886296-qf4577hh-FiXING-LABELS,/g/g91/ranganath2/fast2/logs/886296-20240913-115535.txt,0240913-115535.txt,886296
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240913-120015-886297-lvde8air-FiXING-LABELS-GLOBAL-ADD,/g/g91/ranganath2/fast2/logs/886297-20240913-115956.txt,0240913-115956.txt,886297
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240913-120935-886300-i3i0u_kk-FiXING-LABELS+ADDING-SIGMOID,/g/g91/ranganath2/fast2/logs/886337-20240913-131725.txt,20240913-131725.txt,886337
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/EGNN-20240914-151759-886448-8vxjzqza-WITH-CLASSIFICATION,/g/g91/ranganath2/fast2/logs/886448-20240914-151744.txt,20240914-151744.txt,886448
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/EGNN-20240914-152330-886449-bxrctsbq-WITH-CLASSIFICATION,/g/g91/ranganath2/fast2/logs/886449-20240914-152315.txt,20240914-152315.txt,886449
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/EGNN-20240914-152653-886450-6jwv3a2u-WITH-CLASSIFICATION,/g/g91/ranganath2/fast2/logs/886450-20240914-152640.txt,20240914-152640.txt,886450
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240914-222612-890475-wu6iqupr-DENV2-CLASSIFICATION-FINETUNE,/g/g91/ranganath2/fast2/logs/890475-20240914-222554.txt,20240914-222554.txt,890475
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240915-095947-890578-r1m8wm4n-LOWER-LR,/g/g91/ranganath2/fast2/logs/890578-20240915-095931.txt,20240915-095931.txt,890578
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240923-134812-899667-pvaqvtux,testing,20240923-134812,899667
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240923-135254-899667-gz4h3s_g,testing,20240923-135254,899667
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240923-135456-899667-88byp50z,testing,20240923-140504,899667
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240923-140546-899667-vmlg2gch,testing,20240923-140546,899667
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240923-141659-899730-2rgqbwqp,testing,20240923-141659,899730
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240923-141826-899730-qrsu3oto,testing,20240923-141826,899730
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240923-141826-899730-qrsu3oto/,testing,20240923-214113,899837
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240923-163731-899768-mr2i36en,/g/g91/ranganath2/fast2/logs/899829-20240923-183102.txt,0240923-183102.txt,899829
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240924-165907-900390-yzai2ees,testing,20240924-165907,900390
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240924-171600-900391-n6ntbf4g-ZIKA-FINETUNE+CLASSIFICATION,/g/g91/ranganath2/fast2/logs/900391-20240924-171539.txt,20240924-171539.txt,900391
BIG-BATCH,/g/g91/ranganath2/fast2/logs/900405-20240924-192418.txt,20240924-192418.txt,900405
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240924-214827-900412-87ovq092-WITH-DIST-CUT-OFF,/g/g91/ranganath2/fast2/logs/900412-20240924-214812.txt,812.txt,900412
/p/lustre1/ranganath2/fast.tmp/ZIKA/EGNN-20240924-222149-900413-0va2nqty,/g/g91/ranganath2/fast2/logs/900413-20240924-222132.txt,20240924-222132.txt,900413
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20240927-165054-901674-kv6utgkc,/g/g91/ranganath2/fast2/logs/901674-20240927-164959.txt,20240927-164959.txt,901674
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/PCN-20240930-141649-904042-q0bkx7oo,/g/g91/ranganath2/fast2/logs/904042-20240930-141621.txt,20240930-145816,904047
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/SGCNN-20240930-141839-904043-gs8x4lux,/g/g91/ranganath2/fast2/logs/904043-20240930-141825.txt,20240930-141825.txt,904043
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/PCN-20240930-141649-904042-q0bkx7oo/,testing,20240930-151440,904055
/p/lustre1/ranganath2/fast.tmp/DENV2/PCN-20241001-130354-CPU-uphl8f9x,testing,20241001-131453,905630
/p/vast1/ranganath2/fast.tmp/ZIKA/EGNN-20241014-161510-CPU-k9yasi77,testing,20241014-161731,0
/p/vast1/ranganath2/fast.tmp/ZIKA/EGNN-20241014-162356-CPU-5hfiyxql,testing,20241014-162932,0
/p/lustre1/ranganath2/fast.tmp/MPRO/EGNN-20241202-144246-CPU-3l39zxgb,testing,20241202-144246,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20241216-003917-CPU-ivkbjomy,testing,20241216-003917,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20241216-004107-CPU-3ao8awbw,testing,20241216-004107,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20241216-004153-CPU-vdqcpomq,testing,20241216-004153,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20241216-004241-CPU-lw36mg5r,testing,20241216-004241,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20241216-004340-CPU-5kw74aq5,testing,20241216-004340,CPU
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/SGCNN-20250207-201931-CPU-lza3huuf,testing,20250208-142122,0
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/EGNN-20250210-134448-CPU-5a3hkhl7,testing,20250210-134448,CPU
/p/lustre1/ranganath2/fast.tmp/PDBBIND2020/EGNN-20250210-134448-CPU-5a3hkhl7/,testing,20250210-151459,0
/p/lustre1/ranganath2/fast.tmp/DENV2/SGCNN-20250211-154911-CPU-nciz_7li,testing,20250211-154911,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/SGCNN-20250211-154911-CPU-nciz_7li/,testing,20250218-090829,0
/p/lustre1/ranganath2/fast.tmp/DENV2/SGCNN-20250217-232455-CPU-frw659hs,testing,20250217-232455,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/SGCNN-20250217-232455-CPU-frw659hs/,testing,20250220-115354,0
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20250220-113845-CPU-zxm_xz_1,testing,20250220-113845,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20250220-114057-CPU-wxzlv29l,testing,20250220-114057,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20250220-114057-CPU-wxzlv29l/,testing,20250220-115825,CPU
/p/lustre5/ranganath2/fast.tmp/DENV2/EGNN-20250220-114057-CPU-wxzlv29l/,testing,20250224-144017,0
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250225-072600-CPU-rbt1l6on,testing,20250225-072600,CPU
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250225-072600-CPU-rbt1l6on/,testing,20250226-092027,0
/p/vast1/ranganath2/fast.tmp/ZIKA/SGCNN-20250226-095810-CPU-wsvnsj1v,testing,20250226-101010,0
/p/vast1/ranganath2/fast.tmp/ZIKA/SGCNN-20250226-102019-CPU-xl7n0q56,testing,20250226-102713,0
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250226-124223-CPU-gqa4u6ob,testing,20250226-130941,0
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250226-163950-CPU-715umrn2,/g/g91/ranganath2/fast2/logs/-.txt,.txt,0
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250226-163950-CPU-715umrn2/,testing,.txt,0
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250228-105327-CPU-s80pkmrl,/g/g91/ranganath2/fast2/logs/-.txt,.txt,CPU
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250228-105335-CPU-nt5wto0o,/g/g91/ranganath2/fast2/logs/-.txt,.txt,CPU
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250302-191811-CPU-n9yn2siv-WO-THRESH,/g/g91/ranganath2/fast2/logs/-.txt,.txt,CPU
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250303-114539-CPU-n95ulr1j-WO-THRESH,testing,20250303-114539,CPU
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250303-114845-CPU-4ao66oxx,testing,20250303-115149,0
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250305-110410-CPU-tno1juqu,/p/lustre5/ranganath2/fast2/error-logs/job-id-fg8v985tXfM.txt,job-id-f21tnUHV.txt,0
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250305-110818-CPU-f448x66n-AFFINITY-1,/p/lustre5/ranganath2/fast2/error-logs/job-id-fg8vTVaJNX9.txt,job-id-f21jtYbR.txt,CPU
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250305-111623-CPU-a459trxz-AFFINITY-2,/p/lustre5/ranganath2/fast2/error-logs/job-id-fg8z75DPbRR.txt,job-id-fg8z75DPbRR.txt,CPU
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250321-161620-CPU-g2ksfosk,/p/lustre5/ranganath2/fast2/error-logs/job-id-fzBTJQP.txt,job-id-fzBTJQP.txt,0
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250321-161832-CPU-warjpx4k-NO-SLAB,/p/lustre5/ranganath2/fast2/error-logs/job-id-f21jtYbR.txt,job-id-f21jtYbR.txt,0
SLAB,/p/lustre5/ranganath2/fast2/error-logs/job-id-fxoPyBm.txt,job-id-fxoPyBm.txt,CPU
